slide_id,patch_id,class_label,pseudotime,pseudotime_norm,total_cells,mean_confidence,cancer_cells,lymphocytes,fibroblasts,plasmocytes,eosinophils,neutrophils,macrophages,smooth_muscle,endothelial,red_blood_cells,epithelial_normal,mitotic_figures,apoptotic_bodies,cancer_cells_prop,lymphocytes_prop,fibroblasts_prop,plasmocytes_prop,eosinophils_prop,neutrophils_prop,macrophages_prop,smooth_muscle_prop,endothelial_prop,red_blood_cells_prop,epithelial_normal_prop,mitotic_figures_prop,apoptotic_bodies_prop
0088,0728336,Adenoma low grade,0.0188638623803854,0.0188638623803854,41,0.9773809069538393,40,0,0,0,0,0,0,0,0,0,1,0,0,0.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0
0088,0968741,Adenoma low grade,0.08241374790668488,0.08241374790668488,18,0.9891883217890091,18,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0096,0349954,Adenoma low grade,0.06671436131000519,0.06671436131000519,21,0.9709461419665972,21,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0096,0433931,Adenoma low grade,0.05916007608175278,0.05916007608175278,90,0.9726385922936095,87,0,1,0,0,0,2,0,0,0,0,0,0,0.9666666666666667,0.0,0.011111111111111112,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
0096,0456648,Adenoma low grade,0.06221518665552139,0.06221518665552139,39,0.9763948323419939,29,2,7,0,0,0,0,0,1,0,0,0,0,0.7435897435897436,0.05128205128205128,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0
0096,0965416,Adenoma low grade,0.023751012980937958,0.023751012980937958,58,0.943119670185292,2,20,3,2,1,0,0,0,0,1,29,0,0,0.034482758620689655,0.3448275862068966,0.05172413793103448,0.034482758620689655,0.017241379310344827,0.0,0.0,0.0,0.0,0.017241379310344827,0.5,0.0,0.0
0098,0001425,Adenoma low grade,0.027233416214585304,0.027233416214585304,47,0.9044948414583621,29,0,0,7,0,0,5,0,0,0,6,0,0,0.6170212765957447,0.0,0.0,0.14893617021276595,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.1276595744680851,0.0,0.0
0098,0016408,Adenoma low grade,0.039805278182029724,0.039805278182029724,23,0.8691209459886642,6,2,2,1,0,0,3,0,3,0,4,0,2,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.0,0.13043478260869565,0.0,0.13043478260869565,0.0,0.17391304347826086,0.0,0.08695652173913043
0098,0042120,Adenoma low grade,0.021429792046546936,0.021429792046546936,21,0.9701461694014497,20,0,1,0,0,0,0,0,0,0,0,0,0,0.9523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0098,0051429,Adenoma low grade,0.0268887747079134,0.0268887747079134,40,0.9376705202698531,18,2,2,8,0,0,5,0,2,1,2,0,0,0.45,0.05,0.05,0.2,0.0,0.0,0.125,0.0,0.05,0.025,0.05,0.0,0.0
0098,0062072,Adenoma low grade,0.040804874151945114,0.040804874151945114,16,0.9932594456777124,14,1,0,0,0,0,0,0,0,1,0,0,0,0.875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
0098,0063177,Adenoma low grade,0.02347353659570217,0.02347353659570217,22,0.926649641663403,10,1,5,0,0,0,3,0,0,0,3,0,0,0.45454545454545453,0.045454545454545456,0.22727272727272727,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.13636363636363635,0.0,0.0
0098,0063929,Adenoma low grade,0.011326303705573082,0.011326303705573082,22,0.9968544546424748,21,0,0,0,0,0,0,0,1,0,0,0,0,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
0098,0067104,Adenoma low grade,0.016405828297138214,0.016405828297138214,30,0.9261353645598494,7,0,2,3,0,0,8,0,0,0,10,0,0,0.23333333333333334,0.0,0.06666666666666667,0.1,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
0098,0102416,Adenoma low grade,0.04886492341756821,0.04886492341756821,40,0.9125527790389091,1,7,8,1,0,0,2,0,1,0,20,0,0,0.025,0.175,0.2,0.025,0.0,0.0,0.05,0.0,0.025,0.0,0.5,0.0,0.0
0098,0114467,Adenoma low grade,0.012472337111830711,0.012472337111830711,24,0.9712685704985099,14,0,2,0,0,0,3,1,4,0,0,0,0,0.5833333333333334,0.0,0.08333333333333333,0.0,0.0,0.0,0.125,0.041666666666666664,0.16666666666666666,0.0,0.0,0.0,0.0
0098,0154536,Adenoma low grade,0.04277641698718071,0.04277641698718071,48,0.9371966574282458,24,5,5,0,0,0,4,0,0,0,10,0,0,0.5,0.10416666666666667,0.10416666666666667,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.20833333333333334,0.0,0.0
0098,0180931,Adenoma low grade,0.04433106258511543,0.04433106258511543,24,0.8777831761961897,7,0,6,0,0,0,0,0,0,0,11,0,0,0.2916666666666667,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0
0098,0185612,Adenoma low grade,0.029263470321893692,0.029263470321893692,5,0.6505395646043836,4,0,0,0,0,0,0,0,0,0,1,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0098,0199199,Adenoma low grade,0.048236481845378876,0.048236481845378876,45,0.8299089403156154,9,1,5,2,1,3,9,0,0,0,15,0,0,0.2,0.022222222222222223,0.1111111111111111,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
0098,0225531,Adenoma low grade,0.04870810732245445,0.04870810732245445,21,0.7940332234741871,10,2,1,0,0,0,0,0,3,0,5,0,0,0.47619047619047616,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.23809523809523808,0.0,0.0
