progression,model,type,perm_id,order_str,tau
CRC-Conventional,virchow2,permuted,12,Adenocarcinoma low grade -> Adenoma low grade -> Adenoma high grade -> Adenocarcinoma high grade,0.3377124498337205
CRC-Conventional,virchow2,permuted,13,Adenocarcinoma low grade -> Adenoma low grade -> Adenocarcinoma high grade -> Adenoma high grade,0.07258893122394115
CRC-Conventional,virchow2,permuted,14,Adenocarcinoma low grade -> Adenoma high grade -> Adenoma low grade -> Adenocarcinoma high grade,0.06871153946206666
CRC-Conventional,virchow2,permuted,15,Adenocarcinoma low grade -> Adenoma high grade -> Adenocarcinoma high grade -> Adenoma low grade,-0.21965381024335076
CRC-Conventional,virchow2,permuted,16,Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma low grade -> Adenoma high grade,-0.2157764184814763
CRC-Conventional,virchow2,permuted,17,Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma high grade -> Adenoma low grade,-0.4847773288531301
CRC-Conventional,virchow2,permuted,18,Adenocarcinoma high grade -> Adenoma low grade -> Adenoma high grade -> Adenocarcinoma low grade,-0.06871153946206666
CRC-Conventional,virchow2,permuted,19,Adenocarcinoma high grade -> Adenoma low grade -> Adenocarcinoma low grade -> Adenoma high grade,-0.1813256627571699
CRC-Conventional,virchow2,permuted,20,Adenocarcinoma high grade -> Adenoma high grade -> Adenoma low grade -> Adenocarcinoma low grade,-0.3377124498337205
CRC-Conventional,virchow2,permuted,21,Adenocarcinoma high grade -> Adenoma high grade -> Adenocarcinoma low grade -> Adenoma low grade,-0.6202215810359465
CRC-Conventional,virchow2,permuted,22,Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma low grade -> Adenoma high grade,-0.46383479395939586
CRC-Conventional,virchow2,permuted,23,Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma high grade -> Adenoma low grade,-0.7328357043310497
CRC-Conventional,uni2,canonical,0,Adenoma low grade -> Adenoma high grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade,0.7249760195990723
CRC-Conventional,uni2,permuted,1,Adenoma low grade -> Adenoma high grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade,0.47375624049398496
CRC-Conventional,uni2,permuted,2,Adenoma low grade -> Adenocarcinoma low grade -> Adenoma high grade -> Adenocarcinoma high grade,0.6356860045169255
CRC-Conventional,uni2,permuted,3,Adenoma low grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma high grade,0.36845487725302034
CRC-Conventional,uni2,permuted,4,Adenoma low grade -> Adenocarcinoma high grade -> Adenoma high grade -> Adenocarcinoma low grade,0.20652511323007988
CRC-Conventional,uni2,permuted,5,Adenoma low grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma high grade,0.11723509814793293
CRC-Conventional,uni2,permuted,6,Adenoma high grade -> Adenoma low grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade,0.4516981240449607
CRC-Conventional,uni2,permuted,7,Adenoma high grade -> Adenoma low grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade,0.20047834493987327
CRC-Conventional,uni2,permuted,8,Adenoma high grade -> Adenocarcinoma low grade -> Adenoma low grade -> Adenocarcinoma high grade,0.1710113205523806
CRC-Conventional,uni2,permuted,9,Adenoma high grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma low grade,-0.11723509814793293
CRC-Conventional,uni2,permuted,10,Adenoma high grade -> Adenocarcinoma high grade -> Adenoma low grade -> Adenocarcinoma low grade,-0.08776807376044027
CRC-Conventional,uni2,permuted,11,Adenoma high grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma low grade,-0.36845487725302034
CRC-Conventional,uni2,permuted,12,Adenocarcinoma low grade -> Adenoma low grade -> Adenoma high grade -> Adenocarcinoma high grade,0.3549992010243454
CRC-Conventional,uni2,permuted,13,Adenocarcinoma low grade -> Adenoma low grade -> Adenocarcinoma high grade -> Adenoma high grade,0.08776807376044027
CRC-Conventional,uni2,permuted,14,Adenocarcinoma low grade -> Adenoma high grade -> Adenoma low grade -> Adenocarcinoma high grade,0.08172130547023367
CRC-Conventional,uni2,permuted,15,Adenocarcinoma low grade -> Adenoma high grade -> Adenocarcinoma high grade -> Adenoma low grade,-0.20652511323007988
CRC-Conventional,uni2,permuted,16,Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma low grade -> Adenoma high grade,-0.20047834493987327
CRC-Conventional,uni2,permuted,17,Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma high grade -> Adenoma low grade,-0.47375624049398496
CRC-Conventional,uni2,permuted,18,Adenocarcinoma high grade -> Adenoma low grade -> Adenoma high grade -> Adenocarcinoma low grade,-0.08172130547023367
CRC-Conventional,uni2,permuted,19,Adenocarcinoma high grade -> Adenoma low grade -> Adenocarcinoma low grade -> Adenoma high grade,-0.1710113205523806
CRC-Conventional,uni2,permuted,20,Adenocarcinoma high grade -> Adenoma high grade -> Adenoma low grade -> Adenocarcinoma low grade,-0.3549992010243454
CRC-Conventional,uni2,permuted,21,Adenocarcinoma high grade -> Adenoma high grade -> Adenocarcinoma low grade -> Adenoma low grade,-0.6356860045169255
CRC-Conventional,uni2,permuted,22,Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma low grade -> Adenoma high grade,-0.4516981240449607
CRC-Conventional,uni2,permuted,23,Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma high grade -> Adenoma low grade,-0.7249760195990723
CRC-Conventional,conch,canonical,0,Adenoma low grade -> Adenoma high grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade,0.7028010190323626
CRC-Conventional,conch,permuted,1,Adenoma low grade -> Adenoma high grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade,0.43549134559910807
CRC-Conventional,conch,permuted,2,Adenoma low grade -> Adenocarcinoma low grade -> Adenoma high grade -> Adenocarcinoma high grade,0.6066281218856459
CRC-Conventional,conch,permuted,3,Adenoma low grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma high grade,0.32771976221875704
CRC-Conventional,conch,permuted,4,Adenoma low grade -> Adenocarcinoma high grade -> Adenoma high grade -> Adenocarcinoma low grade,0.15658298593221925
CRC-Conventional,conch,permuted,5,Adenoma low grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma high grade,0.060410088785502615
CRC-Conventional,conch,permuted,6,Adenoma high grade -> Adenoma low grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade,0.48226949908938493
CRC-Conventional,conch,permuted,7,Adenoma high grade -> Adenoma low grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade,0.21495982565613053
CRC-Conventional,conch,permuted,8,Adenoma high grade -> Adenocarcinoma low grade -> Adenoma low grade -> Adenocarcinoma high grade,0.22705913721781598
CRC-Conventional,conch,permuted,9,Adenoma high grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma low grade,-0.060410088785502615
CRC-Conventional,conch,permuted,10,Adenoma high grade -> Adenocarcinoma high grade -> Adenoma low grade -> Adenocarcinoma low grade,-0.07250940034718806
CRC-Conventional,conch,permuted,11,Adenoma high grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma low grade,-0.32771976221875704
CRC-Conventional,conch,permuted,12,Adenocarcinoma low grade -> Adenoma low grade -> Adenoma high grade -> Adenocarcinoma high grade,0.35141776001407693
CRC-Conventional,conch,permuted,13,Adenocarcinoma low grade -> Adenoma low grade -> Adenocarcinoma high grade -> Adenoma high grade,0.07250940034718806
